palabra,freq,por_noticia,diario
coronavirus,10462,2.99,lanacion
gobierno,81,1.31,diariodeleuco
juez,75,1.21,diariodeleuco
síntoma,4075,1.17,lanacion
kilo,8685,1.12,popular
departamento,3883,1.11,lanacion
Argentina,3670,1.05,lanacion
gobierno,388,1.03,eldestape
vacuna,376,1.00,eldestape
apuesto,7666,0.99,popular
ganador,7509,0.97,popular
pandemia,3250,0.93,lanacion
muertos,3029,0.87,lanacion
provincia,2968,0.85,lanacion
Salud,2962,0.85,lanacion
vacuna,52,0.84,diariodeleuco
paciente,2923,0.84,lanacion
cambio,2882,0.82,lanacion
restricción,9198,0.82,infobae
virus,2869,0.82,lanacion
dato,2856,0.82,lanacion
partido,2811,0.80,lanacion
Ministerio,2749,0.79,lanacion
criterio,2712,0.78,lanacion
presencia,2676,0.77,lanacion
dificultad,2675,0.77,lanacion
gobierno,521,0.76,paginadoce
Cristina,47,0.76,diariodeleuco
cuenta,2617,0.75,lanacion
base,2564,0.73,lanacion
vacuna,523,0.73,telam
derecho,45,0.73,diariodeleuco
febrero,270,0.72,eldestape
vacuna,891,0.71,clarin
foto,645,0.70,todonoticias
gobierno,480,0.67,telam
foto,835,0.67,clarin
poder,41,0.66,diariodeleuco
presidente,41,0.66,diariodeleuco
Instagram,588,0.64,todonoticias
lunes,7155,0.64,infobae
dígito,7150,0.64,infobae
vacuna,571,0.62,todonoticias
viernes,6931,0.62,infobae
gobierno,772,0.62,clarin
Formosa,38,0.61,diariodeleuco
fecha,2135,0.61,lanacion
partido,4719,0.61,popular
gobierno,551,0.60,todonoticias
carrera,4444,0.57,popular
gobierno,361,0.57,perfil
precio,35,0.56,diariodeleuco
vacuna,350,0.55,perfil
dólar,687,0.55,clarin
febrero,1917,0.55,lanacion
Boudou,34,0.55,diariodeleuco
vacuna,376,0.55,paginadoce
dólar,424,0.54,ambito
vicepresidente,33,0.53,diariodeleuco
minuto,3930,0.51,popular
pensión,31,0.50,diariodeleuco
